CustomerID,Name,Email,City,SignupDate
1,TinaBaker,charlesjohnson@yahoo.com,EastAmanda,6/17/2020
2,KarenTurner,ryan20@hotmail.com,Caldwellbury,6/4/2022
3,SpencerJohnson,fjohnson@hotmail.com,Jessicashire,8/15/2021
4,MelissaWilson,johncastro@gmail.com,Hoburgh,11/6/2024
5,RebeccaCarter,nicholas45@hotmail.com,Coleberg,9/2/2020
6,KevinWeber,kennethortiz@yahoo.com,EastDeborahview,1/2/2021
7,GaryDavis,michaelmunoz@gmail.com,WestMichael,3/2/2023
8,RandySavage,kevin27@yahoo.com,WestJohnburgh,5/3/2023
9,RobertRogers,david07@garcia.com,Raymondfurt,4/30/2024
10,MeganFrye,dawn91@gmail.com,PortCynthiafurt,12/29/2021
